year,institution,csranking,ranking
2017,Keio University,286,603
2017,Korea Advanced Institute of Science and Technology,-1,88
2017,HHMI Janelia Research Campus,-1,-1
2017,University of Trento,149,236
2017,German Aerospace Center (DLR),-1,-1
2017,Universitat de València,-1,-1
2017,Northeastern University,15,778
2017,Universidad Nacional de Colombia,-1,-1
2017,University of California Berkeley,-1,10
2017,McGill University,92,42
2017,Shanghai Jiao Tong University,46,214
2017,Queen Mary University London,-1,-1
2017,Hitachi Ltd. R&D group,-1,-1
2017,"Sentient Technologies, Inc.",-1,-1
2017,SAP,286,257
2017,College of William and Mary,286,-1
2017,Snap Inc.,-1,-1
2017,Carnegie Mellon University,1,23
2017,D-Wave Systems,-1,-1
2017,Nanyang Technological University,31,54
2017,University of Electronic Science and Technology of China,-1,933
2017,"Technion, Technion",22,-1
2017,Imperial College London,31,8
2017,Georgia Institute of Technology,11,33
2017,Baidu,-1,-1
2017,Handong Global University,-1,-1
2017,Basistech,-1,-1
2017,University of Washington,5,25
2017,Ghent University,-1,118
2017,Oregon State University,67,316
2017,University of Pittsburgh,67,80
2017,"Tsinghua University, Tsinghua University",5,35
2017,POSTECH,92,104
2017,Harvard University,46,6
2017,University of Southern California,22,60
2017,ENSTA ParisTech,-1,-1
2017,Rice University,92,87
2017,"AGH University of Science and Technology, Krakow, Poland",-1,708
2017,Loyola Marymount University,-1,-1
2017,Tel Aviv University,31,216
2017,Swiss Federal Institute of Technology,-1,-1
2017,Chubu University,-1,630
2017,Singapore Management University,67,-1
2017,Beihang University,92,-1
2017,"State University of New York, Binghamton",-1,-1
2017,University of California - Berkeley,-1,10
2017,South China University of Technology,-1,613
2017,Stanford University,3,3
2017,Massachusetts Institute of Technology,9,5
2017,Cornell University,5,19
2017,CERN,-1,-1
2017,University of Tehran,-1,747
2017,Lawrence Berkeley National Lab,-1,-1
2017,OpenAI,-1,-1
2017,University of Bari,286,110
2017,Aalto University,149,228
2017,University of Alberta,92,106
2017,The Chinese University of Hong Kong,286,43
2017,Yonsei University,149,293
2017,"University of California, Los Angeles",-1,14
2017,Skolkovo Institute of Science and Technology,-1,-1
2017,Universidade da Beira Interior,-1,-1
2017,Siemens Corporate Research,-1,-1
2017,Mila,149,240
2017,University of Tampere,-1,296
2017,"Disney Research, Disney",-1,-1
2017,Mohakshah,-1,-1
2017,Bosch,-1,433
2017,Ecole Normale Superieure,92,66
2017,"University of Massachusetts, Boston",286,166
2017,Politecnico di Torino,-1,-1
2017,"University of Illinois, Urbana Champaign",-1,-1
2017,NEC-Labs,-1,-1
2017,University of British Columbia,67,36
2017,The University of Tokyo,46,39
2017,Victoria University Wellington,-1,362
2017,Yandex,-1,-1
2017,Ecole polytechnique,-1,116
2017,Hebrew University of Jerusalem,67,186
2017,Worcester Polytechnic Institute,149,-1
2017,163,-1,-1
2017,Visual-tagging,-1,-1
2017,"Indian Institute of Science Bangalore., Indian institute of science, Bangalore",-1,247
2017,NAVER,-1,-1
2017,Criteo,-1,-1
2017,Moscow Institute of Physics and Technology,-1,313
2017,Purdue University,22,70
2017,"University of California, San Diego",-1,41
2017,Swiss Federal Institute of Technology Lausanne,-1,-1
2017,CSIRO,-1,-1
2017,Paderborn University,286,-1
2017,Renishaw,-1,-1
2017,Walmart Labs,-1,-1
2017,Vanderbilt University,286,108
2017,University of Caen Normandie,-1,-1
2017,Element AI,-1,-1
2017,A2iA SAS,-1,-1
2017,Carnegie-Mellon University,1,23
2017,Pacific Northwest National Laboratory,-1,-1
2017,TUSIMPLE LLC,-1,-1
2017,Oracle,-1,-1
2017,Qihoo 360 Technology Co. Ltd,-1,-1
2017,Facebook,-1,-1
2017,ENPC,-1,-1
2017,Johannes Kepler University Linz,-1,-1
2017,Technical University Munich,-1,-1
2017,"University of North Carolina, Charlotte",67,-1
2017,German Research Center for AI,-1,-1
2017,Maluuba,-1,-1
2017,Jagiellonian University,-1,625
2017,Università di Firenze,-1,-1
2017,"Institute of Computing Technology, Chinese Academy of Sciences",31,-1
2017,University College London,31,-1
2017,Universitat Autonoma de Barcelona,-1,-1
2017,Peking University,14,29
2017,Allen Institute for Artificial Intelligence,-1,-1
2017,INRIA,-1,-1
2017,"University of Tennessee, Knoxville",149,-1
2017,Toronto University,-1,-1
2017,Nankai University,-1,905
2017,Aylien,-1,-1
2017,TU Kaiserslautern,149,-1
2017,The Hong Kong University of Science and Technology,-1,48
2017,University of Cambridge,67,4
2017,Université Côte d'Azur,-1,-1
2017,Telefonica Research,-1,-1
2017,New York University,22,32
